</START/>
</BACIA/>
</OPTIONS: grande NUMLIN= 192 />
  -45.7500   -22.7500 1
  -46.7500   -22.5000 1
  -46.5000   -22.5000 1
  -46.2500   -22.5000 1
  -46.0000   -22.5000 1
  -45.7500   -22.5000 1
  -45.5000   -22.5000 1
  -45.2500   -22.5000 1
  -47.2500   -22.2500 1
  -47.0000   -22.2500 1
  -46.7500   -22.2500 1
  -46.5000   -22.2500 1
  -46.2500   -22.2500 1
  -46.0000   -22.2500 1
  -45.7500   -22.2500 1
  -45.5000   -22.2500 1
  -45.2500   -22.2500 1
  -45.0000   -22.2500 1
  -44.7500   -22.2500 1
  -47.7500   -22.0000 1
  -47.5000   -22.0000 1
  -47.2500   -22.0000 1
  -47.0000   -22.0000 1
  -46.7500   -22.0000 1
  -46.5000   -22.0000 1
  -46.2500   -22.0000 1
  -46.0000   -22.0000 1
  -45.7500   -22.0000 1
  -45.5000   -22.0000 1
  -45.2500   -22.0000 1
  -45.0000   -22.0000 1
  -44.7500   -22.0000 1
  -44.5000   -22.0000 1
  -44.2500   -22.0000 1
  -48.0000   -21.7500 1
  -47.7500   -21.7500 1
  -47.5000   -21.7500 1
  -47.2500   -21.7500 1
  -47.0000   -21.7500 1
  -46.7500   -21.7500 1
  -46.5000   -21.7500 1
  -46.2500   -21.7500 1
  -46.0000   -21.7500 1
  -45.7500   -21.7500 1
  -45.5000   -21.7500 1
  -45.2500   -21.7500 1
  -45.0000   -21.7500 1
  -44.7500   -21.7500 1
  -44.5000   -21.7500 1
  -44.2500   -21.7500 1
  -44.0000   -21.7500 1
  -48.2500   -21.5000 1
  -48.0000   -21.5000 1
  -47.7500   -21.5000 1
  -47.5000   -21.5000 1
  -47.2500   -21.5000 1
  -47.0000   -21.5000 1
  -46.7500   -21.5000 1
  -46.5000   -21.5000 1
  -46.2500   -21.5000 1
  -46.0000   -21.5000 1
  -45.7500   -21.5000 1
  -45.5000   -21.5000 1
  -45.2500   -21.5000 1
  -45.0000   -21.5000 1
  -44.7500   -21.5000 1
  -44.5000   -21.5000 1
  -44.2500   -21.5000 1
  -44.0000   -21.5000 1
  -48.7500   -21.2500 1
  -48.5000   -21.2500 1
  -48.2500   -21.2500 1
  -48.0000   -21.2500 1
  -47.7500   -21.2500 1
  -47.5000   -21.2500 1
  -47.2500   -21.2500 1
  -47.0000   -21.2500 1
  -46.7500   -21.2500 1
  -46.5000   -21.2500 1
  -46.2500   -21.2500 1
  -46.0000   -21.2500 1
  -45.7500   -21.2500 1
  -45.5000   -21.2500 1
  -45.2500   -21.2500 1
  -45.0000   -21.2500 1
  -44.7500   -21.2500 1
  -44.5000   -21.2500 1
  -44.2500   -21.2500 1
  -44.0000   -21.2500 1
  -43.7500   -21.2500 1
  -49.0000   -21.0000 1
  -48.7500   -21.0000 1
  -48.5000   -21.0000 1
  -48.2500   -21.0000 1
  -48.0000   -21.0000 1
  -47.7500   -21.0000 1
  -47.5000   -21.0000 1
  -47.2500   -21.0000 1
  -47.0000   -21.0000 1
  -46.7500   -21.0000 1
  -46.5000   -21.0000 1
  -46.2500   -21.0000 1
  -46.0000   -21.0000 1
  -45.7500   -21.0000 1
  -45.5000   -21.0000 1
  -45.2500   -21.0000 1
  -45.0000   -21.0000 1
  -44.7500   -21.0000 1
  -44.5000   -21.0000 1
  -44.2500   -21.0000 1
  -44.0000   -21.0000 1
  -43.7500   -21.0000 1
  -49.5000   -20.7500 1
  -49.2500   -20.7500 1
  -49.0000   -20.7500 1
  -48.7500   -20.7500 1
  -48.5000   -20.7500 1
  -48.2500   -20.7500 1
  -48.0000   -20.7500 1
  -47.7500   -20.7500 1
  -47.5000   -20.7500 1
  -47.2500   -20.7500 1
  -47.0000   -20.7500 1
  -46.7500   -20.7500 1
  -46.5000   -20.7500 1
  -46.2500   -20.7500 1
  -46.0000   -20.7500 1
  -45.7500   -20.7500 1
  -45.5000   -20.7500 1
  -45.2500   -20.7500 1
  -45.0000   -20.7500 1
  -44.7500   -20.7500 1
  -49.7500   -20.5000 1
  -49.5000   -20.5000 1
  -49.2500   -20.5000 1
  -49.0000   -20.5000 1
  -48.7500   -20.5000 1
  -48.5000   -20.5000 1
  -48.2500   -20.5000 1
  -48.0000   -20.5000 1
  -47.7500   -20.5000 1
  -47.5000   -20.5000 1
  -47.2500   -20.5000 1
  -47.0000   -20.5000 1
  -46.7500   -20.5000 1
  -46.5000   -20.5000 1
  -45.7500   -20.5000 1
  -45.5000   -20.5000 1
  -45.2500   -20.5000 1
  -50.0000   -20.2500 1
  -49.7500   -20.2500 1
  -49.5000   -20.2500 1
  -49.2500   -20.2500 1
  -49.0000   -20.2500 1
  -48.7500   -20.2500 1
  -48.5000   -20.2500 1
  -48.2500   -20.2500 1
  -48.0000   -20.2500 1
  -47.7500   -20.2500 1
  -47.5000   -20.2500 1
  -47.2500   -20.2500 1
  -47.0000   -20.2500 1
  -46.7500   -20.2500 1
  -50.2500   -20.0000 1
  -50.0000   -20.0000 1
  -49.7500   -20.0000 1
  -49.5000   -20.0000 1
  -49.2500   -20.0000 1
  -49.0000   -20.0000 1
  -48.7500   -20.0000 1
  -48.5000   -20.0000 1
  -48.2500   -20.0000 1
  -48.0000   -20.0000 1
  -47.7500   -20.0000 1
  -47.5000   -20.0000 1
  -47.2500   -20.0000 1
  -50.2500   -19.7500 1
  -50.0000   -19.7500 1
  -49.7500   -19.7500 1
  -49.5000   -19.7500 1
  -49.2500   -19.7500 1
  -49.0000   -19.7500 1
  -48.7500   -19.7500 1
  -48.5000   -19.7500 1
  -48.2500   -19.7500 1
  -48.0000   -19.7500 1
  -47.7500   -19.7500 1
  -47.5000   -19.7500 1
  -49.7500   -19.5000 1
  -49.5000   -19.5000 1
  -49.2500   -19.5000 1
  -49.0000   -19.5000 1
</BACIA/>
</OPTIONS: iguacu NUMLIN= 100 />
  -50.7500   -26.7500 1
  -50.5000   -26.7500 1
  -50.2500   -26.7500 1
  -52.0000   -26.5000 1
  -51.7500   -26.5000 1
  -51.5000   -26.5000 1
  -51.2500   -26.5000 1
  -51.0000   -26.5000 1
  -50.7500   -26.5000 1
  -50.5000   -26.5000 1
  -50.2500   -26.5000 1
  -49.7500   -26.5000 1
  -49.5000   -26.5000 1
  -53.5000   -26.2500 1
  -53.2500   -26.2500 1
  -53.0000   -26.2500 1
  -52.7500   -26.2500 1
  -52.5000   -26.2500 1
  -52.2500   -26.2500 1
  -52.0000   -26.2500 1
  -51.7500   -26.2500 1
  -51.5000   -26.2500 1
  -51.2500   -26.2500 1
  -51.0000   -26.2500 1
  -50.7500   -26.2500 1
  -50.5000   -26.2500 1
  -50.2500   -26.2500 1
  -50.0000   -26.2500 1
  -49.7500   -26.2500 1
  -49.5000   -26.2500 1
  -53.7500   -26.0000 1
  -53.5000   -26.0000 1
  -53.2500   -26.0000 1
  -53.0000   -26.0000 1
  -52.7500   -26.0000 1
  -52.5000   -26.0000 1
  -52.2500   -26.0000 1
  -52.0000   -26.0000 1
  -51.7500   -26.0000 1
  -51.5000   -26.0000 1
  -51.2500   -26.0000 1
  -51.0000   -26.0000 1
  -50.7500   -26.0000 1
  -50.5000   -26.0000 1
  -50.2500   -26.0000 1
  -50.0000   -26.0000 1
  -49.7500   -26.0000 1
  -49.5000   -26.0000 1
  -49.2500   -26.0000 1
  -49.0000   -26.0000 1
  -54.2500   -25.7500 1
  -54.0000   -25.7500 1
  -53.7500   -25.7500 1
  -53.5000   -25.7500 1
  -53.2500   -25.7500 1
  -53.0000   -25.7500 1
  -52.7500   -25.7500 1
